dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,734,knn,knn,,,,,,,3348.869934,-325.829956,568.620974,0.000000,16,0.004300,32,161,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:3;7:4;8:4,QuadTree:32,QuadTree:161,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,735,knn,knn,,,,,,,1571.054932,408.873047,455.821013,0.000000,16,0.004800,39,315,16,0,0:1;1:3;2:5;3:5;4:5;5:5;6:5;7:5;8:5,QuadTree:39,QuadTree:315,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,736,knn,knn,,,,,,,2814.336975,-374.763977,441.657988,0.000000,16,0.004200,33,194,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:194,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,737,knn,knn,,,,,,,1622.630981,861.978027,450.518004,0.000000,16,0.004100,33,148,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:148,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,738,knn,knn,,,,,,,1779.926025,814.689941,452.421996,0.000000,16,0.004000,33,130,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:130,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,739,knn,knn,,,,,,,2104.865051,1220.440918,499.155002,0.000000,16,0.005100,33,424,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:424,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,740,knn,knn,,,,,,,2458.298157,438.025024,479.211001,0.000000,16,0.004900,32,249,16,0,0:1;1:3;2:3;3:5;4:4;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:249,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,741,knn,knn,,,,,,,2004.712952,625.994019,471.792998,0.000000,16,0.004300,33,193,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:193,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,742,knn,knn,,,,,,,2746.096985,682.591064,525.547000,0.000000,16,0.003600,30,98,16,0,0:1;1:3;2:3;3:5;4:4;5:4;6:4;7:4;8:2,QuadTree:30,QuadTree:98,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,743,knn,knn,,,,,,,2449.406067,173.794067,470.631988,0.000000,16,0.004900,33,228,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:228,,cpu,1337
