dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1260,radius,radius,,,,,,,2.276828,-0.589233,0.303000,0.074587,0,0.014900,80,4121,1513,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:8;9:4;10:4;11:28;12:21,BVH:13;Octree:67,Octree:4121,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1261,radius,radius,,,,,,,2.495828,-0.741233,-1.026000,0.074587,0,0.013100,71,3127,1330,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:8;9:8;10:8;11:12;12:20,BVH:13;Octree:58,Octree:3127,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1262,radius,radius,,,,,,,-10.400172,-1.087233,0.026000,0.074587,0,0.014100,67,2825,1133,0,0:1;1:2;2:1;3:1;4:2;5:2;6:2;7:2;8:6;9:5;10:16;11:10;12:17,BVH:11;Octree:56,Octree:2825,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1263,radius,radius,,,,,,,-0.080172,-0.844233,6.598000,0.074587,0,0.016300,96,5125,1503,0,0:1;1:2;2:1;3:3;5:2;6:2;7:2;8:9;9:13;10:12;11:18;12:31,BVH:11;Octree:85,Octree:5125,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1264,radius,radius,,,,,,,0.458828,-1.320233,6.930000,0.074587,0,0.013300,65,4310,1255,0,0:1;1:2;2:1;3:3;5:2;6:2;7:2;8:3;9:6;10:7;11:19;12:17,BVH:11;Octree:54,Octree:4310,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1265,radius,radius,,,,,,,-6.695172,-0.716233,0.259000,0.074587,0,0.015400,51,5732,1740,0,0:1;1:2;2:1;3:1;4:2;5:2;6:2;7:2;8:6;9:5;10:8;11:7;12:12,BVH:11;Octree:40,Octree:5732,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1266,radius,radius,,,,,,,3.766828,-0.437233,4.259000,0.074587,0,0.019200,143,3641,1515,0,0:1;1:2;2:3;3:5;4:6;5:8;6:8;7:8;8:32;9:16;10:16;11:16;12:22,BVH:33;Octree:110,Octree:3641,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1267,radius,radius,,,,,,,2.865828,-1.204233,-3.570000,0.074587,0,0.015600,93,4085,1664,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:7;9:6;10:16;11:31;12:18,BVH:13;Octree:80,Octree:4085,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1268,radius,radius,,,,,,,-8.811172,-1.087233,-2.953000,0.074587,0,0.022700,93,7913,1705,0,0:1;1:2;2:1;3:1;4:2;5:2;6:2;7:2;8:10;9:10;10:16;11:11;12:33,BVH:11;Octree:82,Octree:7913,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1269,radius,radius,,,,,,,-9.095172,-0.986233,-3.019000,0.074587,0,0.017500,88,7765,1209,0,0:1;1:2;2:1;3:1;4:2;5:2;6:2;7:2;8:10;9:10;10:17;11:13;12:25,BVH:11;Octree:77,Octree:7765,,cpu,1337
